repository_name,date,clones,unique_visitors/cloners
github-stats,2022-09-07,39,14
github-stats,2022-09-08,59,21
github-stats,2022-09-09,64,23
github-stats,2022-09-10,71,24
github-stats,2022-09-11,67,24
github-stats,2022-09-12,68,23
github-stats,2022-09-13,67,24
github-stats,2022-09-14,66,24
github-stats,2022-09-15,69,24
github-stats,2022-09-16,66,23
github-stats,2022-09-17,74,25
github-stats,2022-09-18,66,24
github-stats,2022-09-19,66,23
github-stats,2022-09-20,66,22
github-stats,2022-09-21,16,7
